  freq,  vadc,  iadc, volts,  curr,   imp,   pow

 56001,   983,    61,  3233,   122,   397, 26317
 56002,   983,    60,  3233,   120,   390, 26756
 56003,   983,    65,  3233,   130,   423, 24698
 56004,   983,    68,  3233,   136,   442, 23608
 56005,   983,    64,  3233,   128,   416, 25084
 56006,   983,    68,  3233,   136,   442, 23608
 56007,   983,    65,  3233,   130,   423, 24698
 56008,   984,    68,  3236,   136,   443, 23632
 56009,   983,    66,  3233,   132,   429, 24324
 56010,   983,    66,  3233,   132,   429, 24324
 56011,   983,    69,  3233,   138,   449, 23266
 56012,   983,    67,  3233,   134,   436, 23961
 56013,   983,    62,  3233,   124,   403, 25893
 56014,   983,    63,  3233,   126,   410, 25482
 56015,   983,    70,  3233,   140,   455, 22934
 56016,   983,    65,  3233,   130,   423, 24698
 56017,   983,    65,  3233,   130,   423, 24698
 56018,   983,    63,  3233,   126,   410, 25482
 56019,   983,    68,  3233,   136,   442, 23608
 56020,   982,    61,  3230,   122,   396, 26291
 56021,   982,    66,  3230,   132,   429, 24299
 56022,   983,    67,  3233,   134,   436, 23961
 56023,   983,    66,  3233,   132,   429, 24324
 56024,   983,    71,  3233,   143,   462, 22611
 56025,   983,    69,  3233,   138,   449, 23266
 56026,   983,    70,  3233,   140,   455, 22934
 56027,   983,    72,  3233,   145,   468, 22297
 56028,   983,    70,  3233,   140,   455, 22934
 56029,   983,    69,  3233,   138,   449, 23266
 56030,   983,    64,  3233,   128,   416, 25084
 56031,   983,    67,  3233,   134,   436, 23961
 56032,   983,    71,  3233,   143,   462, 22611
 56033,   983,    78,  3233,   157,   508, 20581
 56034,   983,    68,  3233,   136,   442, 23608
 56035,   983,    82,  3233,   165,   534, 19577
 56036,   983,    82,  3233,   165,   534, 19577
 56037,   983,    69,  3233,   138,   449, 23266
 56038,   983,    72,  3233,   145,   468, 22297
 56039,   982,    78,  3230,   157,   507, 20561
 56040,   983,    73,  3233,   147,   475, 21991
 56039,   987,   388,  3246,   781,  2537,  4154
 56040,   982,    97,  3230,   195,   631, 16533
 56041,   982,   101,  3230,   203,   657, 15878
 56042,   981,    95,  3226,   191,   617, 16864
 56043,   981,    96,  3226,   193,   623, 16688
 56044,   981,    97,  3226,   195,   630, 16516
 56045,   981,    89,  3226,   179,   578, 18001
 56046,   981,    92,  3226,   185,   597, 17414
 56047,   981,    94,  3226,   189,   610, 17043
