  freq,  vadc,  iadc, volts,  curr,   imp,   pow

 55951,   776,    66,  2552,   132,   339, 19201
 55952,   776,    65,  2552,   130,   334, 19497
 55953,   775,    63,  2549,   126,   323, 20090
 55954,   776,    65,  2552,   130,   334, 19497
 55955,   776,    63,  2552,   126,   323, 20116
 55956,   776,    64,  2552,   128,   329, 19802
 55957,   776,    66,  2552,   132,   339, 19201
 55958,   776,    64,  2552,   128,   329, 19802
 55959,   776,    62,  2552,   124,   318, 20440
 55960,   776,    63,  2552,   126,   323, 20116
 55961,   776,    63,  2552,   126,   323, 20116
 55962,   776,    63,  2552,   126,   323, 20116
 55963,   776,    63,  2552,   126,   323, 20116
 55964,   777,    64,  2555,   128,   329, 19827
 55965,   776,    61,  2552,   122,   313, 20775
 55966,   776,    61,  2552,   122,   313, 20775
 55967,   776,    61,  2552,   122,   313, 20775
 55968,   776,    61,  2552,   122,   313, 20775
 55969,   776,    62,  2552,   124,   318, 20440
 55970,   776,    63,  2552,   126,   323, 20116
 55971,   776,    62,  2552,   124,   318, 20440
 55972,   777,    60,  2555,   120,   308, 21149
 55973,   777,    62,  2555,   124,   319, 20467
 55974,   776,    61,  2552,   122,   313, 20775
 55975,   777,    60,  2555,   120,   308, 21149
 55974,   774,   414,  2546,   833,  2123,  3053
 55975,   777,    57,  2555,   114,   293, 22262
 55976,   776,    57,  2552,   114,   293, 22233
 55977,   776,    56,  2552,   112,   287, 22630
 55978,   777,    58,  2555,   116,   298, 21878
 55979,   777,    59,  2555,   118,   303, 21507
 55980,   777,    57,  2555,   114,   293, 22262
 55981,   776,    55,  2552,   110,   282, 23042
 55982,   776,    57,  2552,   114,   293, 22233
 55983,   777,    55,  2555,   110,   283, 23072
 55984,   776,    54,  2552,   108,   277, 23469
 55985,   776,    56,  2552,   112,   287, 22630
 55986,   776,    56,  2552,   112,   287, 22630
 55987,   777,    56,  2555,   112,   288, 22660
 55988,   777,    56,  2555,   112,   288, 22660
 55989,   777,    53,  2555,   106,   272, 23942
 55990,   776,    55,  2552,   110,   282, 23042
