  freq,  vadc,  iadc, volts,  curr,   imp,   pow
 55991,   777,    54,  2555,   108,   277, 23499
 55992,   777,    53,  2555,   106,   272, 23942
 55993,   777,    54,  2555,   108,   277, 23499
 55994,   777,    54,  2555,   108,   277, 23499
 55995,   777,    55,  2555,   110,   283, 23072
 55996,   777,    52,  2555,   104,   267, 24403
 55997,   776,    54,  2552,   108,   277, 23469
 55998,   776,    55,  2552,   110,   282, 23042
 55999,   777,    53,  2555,   106,   272, 23942
 56000,   777,    53,  2555,   106,   272, 23942
 56001,   777,    52,  2555,   104,   267, 24403
 56002,   777,    53,  2555,   106,   272, 23942
 56003,   777,    55,  2555,   110,   283, 23072
 56004,   777,    54,  2555,   108,   277, 23499
 56005,   777,    54,  2555,   108,   277, 23499
 56006,   777,    52,  2555,   104,   267, 24403
 56007,   777,    52,  2555,   104,   267, 24403
 56008,   777,    51,  2555,   102,   262, 24881
 56009,   776,    52,  2552,   104,   267, 24371
 56010,   777,    53,  2555,   106,   272, 23942
 56011,   777,    54,  2555,   108,   277, 23499
 56012,   777,    52,  2555,   104,   267, 24403
 56013,   776,    51,  2552,   102,   262, 24849
 56014,   776,    51,  2552,   102,   262, 24849
 56015,   776,    54,  2552,   108,   277, 23469
 56016,   776,    53,  2552,   106,   272, 23911
 56017,   776,    53,  2552,   106,   272, 23911
 56018,   776,    53,  2552,   106,   272, 23911
 56019,   776,    52,  2552,   104,   267, 24371
 56020,   776,    51,  2552,   102,   262, 24849
 56021,   777,    52,  2555,   104,   267, 24403
 56022,   776,    51,  2552,   102,   262, 24849
 56023,   777,    56,  2555,   112,   288, 22660
 56024,   777,    50,  2555,   100,   257, 25379
 56025,   777,    51,  2555,   102,   262, 24881
 56026,   776,    53,  2552,   106,   272, 23911
 56027,   776,    52,  2552,   104,   267, 24371
 56028,   777,    53,  2555,   106,   272, 23942
 56029,   777,    51,  2555,   102,   262, 24881
 56030,   777,    53,  2555,   106,   272, 23942
 56031,   777,    52,  2555,   104,   267, 24403
 56032,   777,    54,  2555,   108,   277, 23499
 56033,   777,    53,  2555,   106,   272, 23942
 56034,   777,    52,  2555,   104,   267, 24403
 56035,   777,    52,  2555,   104,   267, 24403
 56036,   776,    49,  2552,    98,   251, 25863
 56037,   777,    50,  2555,   100,   257, 25379
 56038,   777,    53,  2555,   106,   272, 23942
 56039,   777,    56,  2555,   112,   288, 22660
 56040,   777,    50,  2555,   100,   257, 25379
 56039,   778,   592,  2559,  1192,  3051,  2146
 56040,   777,    58,  2555,   116,   298, 21878
 56041,   777,    52,  2555,   104,   267, 24403
 56042,   777,    53,  2555,   106,   272, 23942
 56043,   776,    59,  2552,   118,   303, 21480
 56044,   777,    55,  2555,   110,   283, 23072
 56045,   776,    61,  2552,   122,   313, 20775
 56046,   777,    56,  2555,   112,   288, 22660
 56047,   776,    56,  2552,   112,   287, 22630
 56048,   777,    61,  2555,   122,   314, 20802
 56049,   777,    59,  2555,   118,   303, 21507
 56050,   777,    59,  2555,   118,   303, 21507
 56051,   777,    57,  2555,   114,   293, 22262
 56052,   777,    59,  2555,   118,   303, 21507
 56053,   776,    62,  2552,   124,   318, 20440
 56054,   776,    64,  2552,   128,   329, 19802
 56055,   776,    57,  2552,   114,   293, 22233
 56056,   776,    61,  2552,   122,   313, 20775
 56057,   777,    63,  2555,   126,   324, 20142
 56058,   776,    65,  2552,   130,   334, 19497
 56059,   776,    62,  2552,   124,   318, 20440
 56060,   777,    67,  2555,   134,   344, 18939
 56061,   776,    55,  2552,   110,   282, 23042
 56062,   777,    70,  2555,   140,   360, 18128
 56063,   777,    68,  2555,   136,   350, 18661
 56064,   776,    67,  2552,   134,   344, 18915
 56065,   777,    66,  2555,   132,   339, 19226
 56066,   777,    65,  2555,   130,   334, 19522
 56067,   776,    68,  2552,   136,   349, 18637
 56068,   776,    64,  2552,   128,   329, 19802
 56069,   776,    66,  2552,   132,   339, 19201
 56070,   776,    71,  2552,   143,   365, 17849
 56071,   776,    68,  2552,   136,   349, 18637
 56072,   777,    71,  2555,   143,   365, 17872
 56073,   776,    74,  2552,   149,   380, 17126
 56074,   776,    69,  2552,   138,   354, 18367
 56075,   777,    69,  2555,   138,   355, 18390
 56076,   776,    69,  2552,   138,   354, 18367
 56077,   776,    73,  2552,   147,   375, 17360
 56078,   775,    78,  2549,   157,   400, 16226
 56079,   776,    76,  2552,   153,   390, 16675
 56080,   776,    78,  2552,   157,   401, 16247
 56081,   776,    72,  2552,   145,   370, 17601
 56082,   776,    86,  2552,   173,   442, 14736
 56083,   776,    80,  2552,   161,   411, 15841
 56084,   775,    87,  2549,   175,   446, 14548
 56085,   776,    81,  2552,   163,   416, 15646
 56086,   775,    92,  2549,   185,   472, 13757
 56087,   776,    81,  2552,   163,   416, 15646
 56088,   775,    82,  2549,   165,   421, 15435
 56089,   775,    82,  2549,   165,   421, 15435
 56090,   775,    91,  2549,   183,   467, 13908
 56091,   775,    84,  2549,   169,   431, 15067
 56092,   775,    99,  2549,   199,   508, 12784
 56093,   775,    92,  2549,   185,   472, 13757
 56094,   775,   101,  2549,   203,   518, 12531
 56095,   775,    96,  2549,   193,   492, 13184
 56096,   774,    92,  2546,   185,   471, 13739
 56097,   774,    94,  2546,   189,   482, 13447
 56098,   774,   101,  2546,   203,   517, 12515
 56099,   774,   103,  2546,   207,   528, 12272
 56100,   774,   106,  2546,   213,   543, 11925
 56101,   774,   104,  2546,   209,   533, 12154
 56102,   774,    91,  2546,   183,   466, 13890
 56103,   774,   105,  2546,   211,   538, 12038
 56104,   774,   103,  2546,   207,   528, 12272
 56105,   774,   112,  2546,   225,   574, 11286
 56104,   772,   264,  2539,   531,  1350,  4775
 56105,   773,   148,  2542,   298,   757,  8529
 56106,   772,   148,  2539,   298,   757,  8518
 56107,   772,   133,  2539,   267,   680,  9479
 56108,   773,   138,  2542,   277,   706,  9148
 56109,   772,   132,  2539,   265,   675,  9551
 56110,   772,   138,  2539,   277,   705,  9136
 56111,   772,   152,  2539,   306,   777,  8294
 56112,   772,   142,  2539,   286,   726,  8878
 56113,   770,   159,  2532,   320,   811,  7908
 56114,   772,   149,  2539,   300,   762,  8461
 56115,   772,   152,  2539,   306,   777,  8294
 56116,   771,   157,  2536,   316,   802,  8020
 56117,   770,   168,  2532,   338,   857,  7485
 56118,   771,   164,  2536,   330,   837,  7677
 56119,   771,   168,  2536,   338,   858,  7495
 56120,   771,   178,  2536,   358,   909,  7073
 56121,   771,   166,  2536,   334,   847,  7585
 56122,   771,   154,  2536,   310,   786,  8176
 56123,   771,   164,  2536,   330,   837,  7677
 56124,   771,   162,  2536,   326,   827,  7772
 56125,   770,   184,  2532,   370,   938,  6834
 56126,   770,   173,  2532,   348,   882,  7268
 56127,   769,   171,  2529,   344,   871,  7344
 56128,   770,   193,  2532,   388,   984,  6515
 56129,   770,   203,  2532,   408,  1035,  6194
 56130,   770,   201,  2532,   404,  1025,  6256
 56131,   770,   191,  2532,   384,   974,  6583
 56132,   771,   191,  2536,   384,   975,  6592
 56133,   769,   196,  2529,   394,   998,  6407
 56134,   769,   213,  2529,   429,  1085,  5896
 56135,   768,   205,  2526,   412,  1043,  6118
 56136,   768,   211,  2526,   424,  1073,  5944
 56137,   768,   205,  2526,   412,  1043,  6118
 56138,   768,   205,  2526,   412,  1043,  6118
 56139,   767,   223,  2523,   449,  1133,  5617
 56140,   767,   227,  2523,   457,  1153,  5518
 56141,   767,   236,  2523,   475,  1199,  5307
 56142,   767,   227,  2523,   457,  1153,  5518
 56143,   766,   245,  2519,   493,  1243,  5106
