  freq,  vadc,  iadc, volts,  curr,   imp,   pow

 56001,   777,    50,  2555,   100,   257, 25379
 56002,   777,    51,  2555,   102,   262, 24881
 56003,   777,    51,  2555,   102,   262, 24881
 56004,   777,    48,  2555,    96,   247, 26436
 56005,   777,    53,  2555,   106,   272, 23942
 56006,   777,    54,  2555,   108,   277, 23499
 56007,   777,    51,  2555,   102,   262, 24881
 56008,   777,    55,  2555,   110,   283, 23072
 56009,   777,    49,  2555,    98,   252, 25897
 56010,   777,    53,  2555,   106,   272, 23942
 56011,   776,    47,  2552,    94,   241, 26964
 56012,   777,    51,  2555,   102,   262, 24881
 56013,   777,    55,  2555,   110,   283, 23072
 56014,   777,    52,  2555,   104,   267, 24403
 56015,   777,    57,  2555,   114,   293, 22262
 56016,   776,    48,  2552,    96,   246, 26402
 56017,   777,    52,  2555,   104,   267, 24403
 56018,   776,    52,  2552,   104,   267, 24371
 56019,   777,    57,  2555,   114,   293, 22262
 56020,   777,    53,  2555,   106,   272, 23942
 56021,   777,    53,  2555,   106,   272, 23942
 56022,   777,    52,  2555,   104,   267, 24403
 56023,   777,    53,  2555,   106,   272, 23942
 56024,   777,    52,  2555,   104,   267, 24403
 56025,   777,    55,  2555,   110,   283, 23072
 56026,   777,    52,  2555,   104,   267, 24403
 56027,   776,    52,  2552,   104,   267, 24371
 56028,   776,    52,  2552,   104,   267, 24371
 56029,   777,    56,  2555,   112,   288, 22660
 56030,   776,    54,  2552,   108,   277, 23469
 56031,   777,    54,  2555,   108,   277, 23499
 56032,   777,    57,  2555,   114,   293, 22262
 56033,   777,    51,  2555,   102,   262, 24881
 56034,   777,    52,  2555,   104,   267, 24403
 56035,   777,    57,  2555,   114,   293, 22262
 56036,   776,    57,  2552,   114,   293, 22233
 56037,   777,    56,  2555,   112,   288, 22660
 56038,   777,    55,  2555,   110,   283, 23072
 56039,   777,    58,  2555,   116,   298, 21878
 56040,   777,    59,  2555,   118,   303, 21507
 56039,   780,   680,  2565,  1369,  3514,  1873
 56040,   776,    71,  2552,   143,   365, 17849
 56041,   776,    72,  2552,   145,   370, 17601
 56042,   776,    67,  2552,   134,   344, 18915
 56043,   776,    73,  2552,   147,   375, 17360
 56044,   776,    68,  2552,   136,   349, 18637
 56045,   776,    72,  2552,   145,   370, 17601
 56046,   776,    66,  2552,   132,   339, 19201
 56047,   776,    67,  2552,   134,   344, 18915
